TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,7,10,19,40,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,7,15,16,46,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,7,25,9,46,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,1,6,20,17,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,1,8,18,22,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,1,16,19,19,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,1,29,13,52,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,2,13,28,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,5,11,40,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,6,11,25,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,9,11,23,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,9,19,36,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,10,11,21,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,12,11,17,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,13,21,33,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,15,14,56,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,17,10,17,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,18,14,12,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,21,21,30,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,22,16,49,7XX BUTE ST,West End,490796.7279,5459281.2509
Other Theft,2026,2,23,10,27,7XX BUTE ST,West End,490796.7279,5459281.2509
