TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2026,5,11,3,50,12XX DAVIE ST,West End,490259.8276,5458839.5461
Break and Enter Commercial,2026,6,9,5,57,12XX DAVIE ST,West End,490263.4857,5458835.936
Break and Enter Commercial,2026,1,16,2,30,12XX DAVIE ST,West End,490286.0757,5458800.8438
Break and Enter Commercial,2026,3,6,0,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,3,11,11,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,1,15,5,31,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,3,6,11,25,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,4,11,23,0,12XX GRANVILLE ST,Central Business District,490735.5593,5458179.6551
Break and Enter Commercial,2026,4,3,17,28,12XX GRANVILLE ST,Central Business District,490794.8554,5458253.5616
Break and Enter Commercial,2026,4,1,20,31,12XX HARWOOD ST,West End,490127.9093,5458644.5276
Break and Enter Commercial,2026,5,30,13,35,12XX HORNBY ST,Central Business District,490575.9013,5458314.8358
Break and Enter Commercial,2026,5,10,20,20,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494244.7841,5455447.9722
Break and Enter Commercial,2026,5,13,1,24,12XX MAIN ST,Central Business District,492717.348,5457893.4414
Break and Enter Commercial,2026,7,18,15,0,12XX NAPIER ST,Strathcona,494366.4177,5458018.4409
Break and Enter Commercial,2026,4,7,17,17,12XX SEYMOUR ST,Central Business District,490868.9128,5458154.6316
Break and Enter Commercial,2026,2,8,11,43,12XX W 11TH AVE,Fairview,490293.5012,5456552.4812
Break and Enter Commercial,2026,2,8,3,24,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2026,3,25,0,0,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,3,25,19,0,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,6,28,1,45,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,3,15,14,44,12XX W 71ST AVE,Marpole,490239.5449,5450477.3793
Break and Enter Commercial,2026,7,26,6,41,12XX W BROADWAY AVE,Fairview,490289.3188,5456753.8591
Break and Enter Commercial,2026,5,20,6,30,12XX W BROADWAY AVE,Fairview,490307.5215,5456743.4608
Break and Enter Commercial,2026,1,19,2,52,12XX W BROADWAY AVE,Fairview,490326.6692,5456753.3296
Break and Enter Commercial,2026,5,14,5,15,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2026,5,17,5,0,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2026,6,20,0,30,12XX W GEORGIA ST,Central Business District,490844.865,5459430.8445
Break and Enter Commercial,2026,6,8,0,0,16XX W 14TH AVE,Fairview,489719.3914,5456248.228
Break and Enter Commercial,2026,4,25,3,59,16XX W 7TH AVE,Fairview,489690.493,5456953.7026
Break and Enter Commercial,2026,7,18,19,39,16XX W BROADWAY AVE,Fairview,489663.9562,5456777.8158
Break and Enter Commercial,2026,1,19,0,15,17XX ALBERNI ST,West End,490245.3494,5459922.7012
Break and Enter Commercial,2026,7,23,14,41,17XX BALSAM ST,Kitsilano,488373.0761,5457556.7627
Break and Enter Commercial,2026,6,27,21,59,17XX BEACH AVE,West End,489625.6148,5459220.6134
Break and Enter Commercial,2026,3,26,6,18,17XX E 10TH AVE,Kensington-Cedar Cottage,494995.9177,5456512.048
Break and Enter Commercial,2026,2,17,2,0,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.0072
Break and Enter Commercial,2026,3,8,5,0,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.0072
Break and Enter Commercial,2026,6,26,7,12,17XX E 36TH AVE,Kensington-Cedar Cottage,494900.1892,5453874.5969
Break and Enter Commercial,2026,1,11,11,0,17XX E HASTINGS ST,Grandview-Woodland,494940.3475,5458719.0045
Break and Enter Commercial,2026,7,24,8,0,17XX E PENDER ST,Grandview-Woodland,494926.4997,5458611.41
Break and Enter Commercial,2026,1,11,18,5,17XX NELSON ST,West End,490026.1983,5459531.4312
Break and Enter Commercial,2026,3,13,3,20,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.3891
Break and Enter Commercial,2026,5,14,4,15,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.3891
Break and Enter Commercial,2026,2,13,3,39,17XX PANDORA ST,Grandview-Woodland,494899.8766,5458923.1998
Break and Enter Commercial,2026,1,12,0,40,17XX PENDRELL ST,West End,489793.7635,5459440.362
Break and Enter Commercial,2026,2,27,2,58,17XX PENDRELL ST,West End,489849.2774,5459398.8982
Break and Enter Commercial,2026,4,6,20,39,17XX POWELL ST,Grandview-Woodland,494934.1204,5459032.6415
Break and Enter Commercial,2026,4,26,2,11,17XX QUEBEC ST,Mount Pleasant,492523.5658,5457414.1166
Break and Enter Commercial,2026,5,9,5,8,17XX W 4TH AVE,Fairview,489486.618,5457243.3271
Break and Enter Commercial,2026,5,25,5,35,17XX W BROADWAY AVE,Fairview,489429.7872,5456775.6261
Break and Enter Commercial,2026,7,11,20,5,18XX ALBERNI ST,West End,490201.1122,5459966.1207
Break and Enter Commercial,2026,5,6,4,27,24XX BURRARD ST,Kitsilano,489391.6735,5456838.0388
Break and Enter Commercial,2026,5,5,5,0,24XX KINGSWAY AVE,Renfrew-Collingwood,495912.3622,5454240.4345
Break and Enter Commercial,2026,3,18,5,30,24XX KINGSWAY AVE,Renfrew-Collingwood,495949.8965,5454225.4959
Break and Enter Commercial,2026,4,15,20,8,24XX MAIN ST,Mount Pleasant,492644.778,5456752.909
Break and Enter Commercial,2026,5,25,2,49,24XX NANAIMO ST,Grandview-Woodland,495878.0346,5456602.6054
Break and Enter Commercial,2026,2,8,23,0,24XX ST GEORGE ST,Mount Pleasant,493229.3441,5456672.7079
Break and Enter Commercial,2026,4,1,17,56,24XX ST GEORGE ST,Mount Pleasant,493229.3441,5456672.7079
Break and Enter Commercial,2026,6,21,1,0,24XX ST GEORGE ST,Mount Pleasant,493229.3441,5456672.7079
Break and Enter Commercial,2026,6,22,4,0,24XX ST GEORGE ST,Mount Pleasant,493229.3441,5456672.7079
Break and Enter Commercial,2026,4,23,0,13,24XX W 2ND AVE,Kitsilano,488286.1215,5457471.7995
Break and Enter Commercial,2026,1,19,11,43,25XX CAROLINA ST,Mount Pleasant,493371.2045,5456627.7971
Break and Enter Commercial,2026,3,7,3,7,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494917.2534,5456615.3327
Break and Enter Commercial,2026,1,1,5,30,25XX E BROADWAY AVE,Hastings-Sunrise,496032.5121,5456589.6063
Break and Enter Commercial,2026,1,29,4,39,25XX GRANVILLE ST,Fairview,489924.3139,5456691.585
Break and Enter Commercial,2026,4,24,4,42,25XX NANAIMO ST,Renfrew-Collingwood,495887.1277,5456576.3369
Break and Enter Commercial,2026,2,25,5,0,25XX ONTARIO ST,Mount Pleasant,492363.8886,5456682.7375
Break and Enter Commercial,2026,2,26,20,30,25XX ONTARIO ST,Mount Pleasant,492363.8886,5456682.7375
Break and Enter Commercial,2026,2,4,16,38,25XX QUEBEC ST,Mount Pleasant,492503.9191,5456681.418
Break and Enter Commercial,2026,6,20,22,12,10XX BURNABY ST,West End,490462.4746,5458477.442
Break and Enter Commercial,2026,6,21,22,14,10XX BURNABY ST,West End,490462.4746,5458477.442
Break and Enter Commercial,2026,5,15,20,0,10XX BURNABY ST,West End,490502.4963,5458423.6162
Break and Enter Commercial,2026,1,22,4,27,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2026,2,18,21,30,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2026,4,20,10,53,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2026,5,14,6,4,10XX BURRARD ST,West End,490729.8291,5458622.3417
Break and Enter Commercial,2026,2,22,17,25,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2026,3,5,19,11,10XX CANADA PL,Central Business District,491521.6898,5459519.9872
Break and Enter Commercial,2026,3,12,23,0,10XX CANADA PL,Central Business District,491521.6898,5459519.9872
Break and Enter Commercial,2026,7,24,8,44,10XX CHILCO ST,West End,489628.1886,5459759.5847
Break and Enter Commercial,2026,7,16,8,18,10XX COMMERCIAL DR,Grandview-Woodland,494946.5539,5458078.3871
Break and Enter Commercial,2026,2,16,1,26,10XX DAVIE ST,West End,490467.1155,5458629.8738
Break and Enter Commercial,2026,2,6,3,28,10XX DAVIE ST,West End,490469.9449,5458627.0837
Break and Enter Commercial,2026,6,9,2,19,10XX DAVIE ST,West End,490489.122,5458580.7049
Break and Enter Commercial,2026,2,12,4,28,10XX DAVIE ST,West End,490516.0003,5458581.6697
Break and Enter Commercial,2026,1,18,0,0,10XX DENMAN ST,West End,489865.7016,5459587.088
Break and Enter Commercial,2026,2,11,9,34,10XX DENMAN ST,West End,489865.7016,5459587.088
Break and Enter Commercial,2026,5,10,20,35,10XX EXPO BLVD,Central Business District,491546.0895,5458011.0024
Break and Enter Commercial,2026,6,9,18,0,10XX GRANVILLE ST,Central Business District,491028.9127,5458477.882
Break and Enter Commercial,2026,1,11,5,23,10XX HAMILTON ST,Central Business District,491291.8249,5458243.2363
Break and Enter Commercial,2026,6,30,14,39,10XX HOMER ST,Central Business District,491167.2767,5458188.8915
Break and Enter Commercial,2026,7,11,6,7,10XX HOWE ST,Central Business District,490888.649,5458494.7687
Break and Enter Commercial,2026,5,9,4,47,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493973.5265,5455626.2586
Break and Enter Commercial,2026,2,22,3,37,10XX MAINLAND ST,Central Business District,491313.6252,5458187.555
Break and Enter Commercial,2026,6,23,6,14,14XX CARTWRIGHT ST,Fairview,490163.0788,5457502.3145
Break and Enter Commercial,2026,7,7,5,50,14XX FOUNTAIN WAY,Fairview,490068.8057,5457326.7615
Break and Enter Commercial,2026,4,16,0,46,14XX GRANVILLE ST,Central Business District,490524.4017,5457970.2186
Break and Enter Commercial,2026,6,29,18,19,14XX HOWE ST,Central Business District,490435.076,5458022.9336
Break and Enter Commercial,2026,7,20,18,16,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2026,3,2,0,30,14XX NANAIMO ST,Hastings-Sunrise,495887.8965,5457645.4993
Break and Enter Commercial,2026,3,23,9,50,14XX NANAIMO ST,Hastings-Sunrise,495887.8965,5457645.4993
Break and Enter Commercial,2026,2,23,1,52,14XX QUEBEC ST,Mount Pleasant,492586.2532,5457734.6766
Break and Enter Commercial,2026,2,22,4,59,14XX W 11TH AVE,Fairview,489936.7822,5456553.4759
Break and Enter Commercial,2026,2,22,4,59,14XX W 11TH AVE,Fairview,489951.0306,5456552.9533
Break and Enter Commercial,2026,3,2,18,8,14XX W BROADWAY AVE,Fairview,490043.381,5456760.6176
Break and Enter Commercial,2026,5,15,7,43,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,5,17,1,30,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,7,9,16,29,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,3,23,6,15,15XX E 3RD AVE,Grandview-Woodland,494722.2667,5457226.3394
Break and Enter Commercial,2026,3,18,8,39,15XX POWELL ST,Grandview-Woodland,494636.66,5458946.5124
Break and Enter Commercial,2026,1,17,1,0,15XX RAND AVE,Marpole,489588.2983,5450352.8168
Break and Enter Commercial,2026,5,18,11,24,15XX ROBSON ST,West End,490388.6148,5459608.7001
Break and Enter Commercial,2026,3,18,4,14,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,3,18,7,23,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,5,5,6,9,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,3,13,2,32,15XX ROBSON ST,West End,490422.1791,5459603.3066
Break and Enter Commercial,2026,4,5,11,54,15XX ROBSON ST,West End,490422.1791,5459603.3066
Break and Enter Commercial,2026,6,27,6,23,15XX ROBSON ST,West End,490422.1791,5459603.3066
Break and Enter Commercial,2026,6,19,18,0,1XX W 6TH AVE,Mount Pleasant,492136.6496,5456985.3865
Break and Enter Commercial,2026,1,6,13,19,1XX W HASTINGS ST,Central Business District,492180.3713,5458813.1976
Break and Enter Commercial,2026,7,17,13,26,1XX WATER ST,Central Business District,492203.2678,5459031.6462
Break and Enter Commercial,2026,7,24,14,21,1XX WATER ST,Central Business District,492203.2678,5459031.6462
Break and Enter Commercial,2026,4,15,16,30,1XX WATER ST,Central Business District,492231.9528,5459033.4505
Break and Enter Commercial,2026,1,15,20,0,20XX E BROADWAY AVE,Grandview-Woodland,495431.2377,5456617.8261
Break and Enter Commercial,2026,3,28,20,56,20XX E HASTINGS ST,Grandview-Woodland,495456.8995,5458711.4677
Break and Enter Commercial,2026,4,19,0,37,20XX E HASTINGS ST,Grandview-Woodland,495456.8995,5458711.4677
Break and Enter Commercial,2026,5,18,3,17,20XX E HASTINGS ST,Grandview-Woodland,495456.8995,5458711.4677
Break and Enter Commercial,2026,6,27,2,44,20XX E HASTINGS ST,Grandview-Woodland,495456.8995,5458711.4677
Break and Enter Commercial,2026,7,15,11,47,20XX HARO ST,West End,489851.5347,5460016.2041
Break and Enter Commercial,2026,6,18,6,13,20XX HARRISON DR,Victoria-Fraserview,495210.116,5450866.9496
Break and Enter Commercial,2026,4,19,8,50,20XX HARRISON DR,Victoria-Fraserview,495211.3251,5450866.5676
Break and Enter Commercial,2026,1,26,10,34,20XX HIGHBURY ST,West Point Grey,486353.9537,5457303.9597
Break and Enter Commercial,2026,7,24,22,24,20XX STAINSBURY AVE,Kensington-Cedar Cottage,495270.0684,5455410.652
Break and Enter Commercial,2026,5,28,0,38,20XX W 41ST AVE,Kerrisdale,488825.1203,5453537.4144
Break and Enter Commercial,2026,5,6,4,6,20XX W 4TH AVE,Kitsilano,489009.0519,5457284.9831
Break and Enter Commercial,2026,5,27,0,0,20XX W 4TH AVE,Kitsilano,489019.2809,5457284.5512
Break and Enter Commercial,2026,4,19,0,24,20XX W BROADWAY AVE,Kitsilano,488910.2916,5456789.8815
Break and Enter Commercial,2026,1,14,17,42,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Break and Enter Commercial,2026,2,4,13,14,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Break and Enter Commercial,2026,3,11,6,0,10XX RICHARDS ST,Central Business District,491078.1127,5458256.7512
Break and Enter Commercial,2026,7,28,15,41,10XX RICHARDS ST,Central Business District,491080.4194,5458259.0608
Break and Enter Commercial,2026,1,6,4,12,10XX ROBSON ST,West End,491004.6735,5459024.7773
Break and Enter Commercial,2026,7,11,8,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2026,3,22,4,25,10XX SW MARINE DR,Marpole,490426.4215,5450190.3986
Break and Enter Commercial,2026,4,12,12,0,10XX W 47TH AVE,Oakridge,490516.8267,5452857.1864
Break and Enter Commercial,2026,5,22,22,0,10XX W BROADWAY AVE,Fairview,490637.1701,5456734.6865
Break and Enter Commercial,2026,7,1,7,50,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403
Break and Enter Commercial,2026,3,16,12,0,10XX W GEORGIA ST,West End,491057.9911,5459207.5202
Break and Enter Commercial,2026,3,8,6,39,10XX W HASTINGS ST,Central Business District,491359.0894,5459440.1619
Break and Enter Commercial,2026,3,10,0,0,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2026,5,13,6,36,11XX BEACH AVE,West End,490085.9345,5458429.7442
Break and Enter Commercial,2026,5,8,6,0,11XX DAVIE ST,West End,490332.5765,5458753.8252
Break and Enter Commercial,2026,2,7,17,47,11XX E 7TH AVE,Mount Pleasant,494099.824,5456851.8578
Break and Enter Commercial,2026,4,24,16,30,11XX E HASTINGS ST,Strathcona,494163.5171,5458710.5514
Break and Enter Commercial,2026,7,11,3,44,11XX FRANKLIN ST,Strathcona,494180.215,5458846.2595
Break and Enter Commercial,2026,4,6,3,28,11XX GRANT ST,Strathcona,494274.1694,5457645.8023
Break and Enter Commercial,2026,3,20,7,25,15XX ROBSON ST,West End,490443.8049,5459568.8529
Break and Enter Commercial,2026,5,4,3,10,15XX ROBSON ST,West End,490451.3549,5459561.3374
Break and Enter Commercial,2026,7,1,4,30,15XX W 11TH AVE,Fairview,489878.0553,5456554.5024
Break and Enter Commercial,2026,7,3,2,44,15XX W 11TH AVE,Fairview,489894.9574,5456554.1337
Break and Enter Commercial,2026,6,8,18,30,15XX W 59TH AVE,Marpole,489775.3445,5451641.9949
Break and Enter Commercial,2026,3,8,1,0,15XX W 6TH AVE,Fairview,489811.9955,5457063.6039
Break and Enter Commercial,2026,5,6,4,43,15XX W BROADWAY AVE,Fairview,489902.4794,5456783.2401
Break and Enter Commercial,2026,2,10,0,14,16XX ADANAC ST,Grandview-Woodland,494802.3183,5458312.313
Break and Enter Commercial,2026,7,22,1,45,16XX ADANAC ST,Grandview-Woodland,494802.3183,5458312.313
Break and Enter Commercial,2026,1,17,1,13,16XX COMMERCIAL DR,Grandview-Woodland,494927.9168,5457487.0523
Break and Enter Commercial,2026,5,25,4,0,16XX DAVIE ST,West End,489828.0098,5459253.4179
Break and Enter Commercial,2026,4,17,1,59,16XX DAVIE ST,West End,489849.7329,5459244.6534
Break and Enter Commercial,2026,3,4,8,50,16XX DAVIE ST,West End,489856.5062,5459237.8924
Break and Enter Commercial,2026,3,10,21,58,16XX E 12TH AVE,Kensington-Cedar Cottage,494885.4804,5456311.6604
Break and Enter Commercial,2026,1,4,0,0,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554
Break and Enter Commercial,2026,1,12,15,9,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554
Break and Enter Commercial,2026,6,2,0,0,16XX FRANKLIN ST,Grandview-Woodland,494746.5779,5458835.0554
Break and Enter Commercial,2026,1,4,2,59,16XX MANITOBA ST,Mount Pleasant,492238.1676,5457536.7536
Break and Enter Commercial,2026,6,25,8,42,16XX NELSON ST,West End,490089.1237,5459469.4406
Break and Enter Commercial,2026,4,29,5,53,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495401.3851,5454601.4945
Break and Enter Commercial,2026,4,3,13,43,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.609,5454581.4955
Break and Enter Commercial,2026,3,30,0,0,21XX MAIN ST,Mount Pleasant,492675.8512,5457063.8721
Break and Enter Commercial,2026,2,4,1,17,21XX W 7TH AVE,Kitsilano,488724.4362,5456990.5562
Break and Enter Commercial,2026,6,12,0,0,21XX YEW ST,Kitsilano,488705.3929,5457162.3935
Break and Enter Commercial,2026,6,10,0,35,22XX E BROADWAY AVE,Grandview-Woodland,495674.5792,5456615.6684
Break and Enter Commercial,2026,6,10,5,4,22XX E BROADWAY AVE,Kensington-Cedar Cottage,495719.9939,5456606.1663
Break and Enter Commercial,2026,7,13,18,0,22XX FRASER ST,Mount Pleasant,493523.31,5456893.4563
Break and Enter Commercial,2026,4,6,23,30,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495513.3705,5454530.9237
Break and Enter Commercial,2026,6,29,19,20,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495559.1513,5454487.8078
Break and Enter Commercial,2026,2,10,4,30,22XX W 41ST AVE,Arbutus Ridge,488471.8252,5453555.3365
Break and Enter Commercial,2026,2,11,4,49,22XX W 4TH AVE,Kitsilano,488705.1334,5457282.0537
Break and Enter Commercial,2026,1,18,4,5,22XX W 4TH AVE,Kitsilano,488708.5682,5457281.97
Break and Enter Commercial,2026,5,1,8,26,22XX W BROADWAY AVE,Kitsilano,488586.1016,5456798.8398
Break and Enter Commercial,2026,4,11,0,0,22XX W BROADWAY AVE,Kitsilano,488689.6542,5456805.1254
Break and Enter Commercial,2026,4,28,7,30,23XX BURRARD ST,Kitsilano,489383.1731,5456928.7184
Break and Enter Commercial,2026,4,12,6,0,23XX GRANVILLE ST,Fairview,489926.9991,5456911.5007
Break and Enter Commercial,2026,5,11,7,29,23XX GRANVILLE ST,Fairview,489926.9991,5456911.5007
Break and Enter Commercial,2026,1,15,14,45,11XX HARO ST,West End,490733.3329,5459142.496
Break and Enter Commercial,2026,3,22,13,14,11XX HOMER ST,Central Business District,491095.8707,5458117.5181
Break and Enter Commercial,2026,5,14,5,39,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2026,3,12,1,45,11XX HOWE ST,Central Business District,490851.7894,5458444.3488
Break and Enter Commercial,2026,1,23,5,45,11XX JERVIS ST,West End,490237.3427,5458949.2599
Break and Enter Commercial,2026,2,12,4,27,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494115.304,5455524.7121
Break and Enter Commercial,2026,5,26,3,23,11XX RICHARDS ST,Central Business District,491058.183,5458236.7356
Break and Enter Commercial,2026,5,5,5,3,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2026,3,19,4,26,11XX ROBSON ST,West End,490833.2587,5459182.2049
Break and Enter Commercial,2026,3,2,4,51,11XX SEYMOUR ST,Central Business District,490894.3286,5458208.1336
Break and Enter Commercial,2026,2,4,4,25,11XX STATION ST,Strathcona,492837.2067,5458016.8403
Break and Enter Commercial,2026,6,18,4,0,11XX SW MARINE DR,Marpole,490381.3834,5450118.9443
Break and Enter Commercial,2026,1,31,2,40,11XX SW MARINE DR,Marpole,490390.818,5450130.1504
Break and Enter Commercial,2026,6,2,0,0,11XX SW MARINE DR,Marpole,490390.818,5450130.1504
Break and Enter Commercial,2026,5,3,16,48,11XX W BROADWAY AVE,Fairview,490486.856,5456749.2271
Break and Enter Commercial,2026,1,9,1,26,11XX W BROADWAY AVE,Fairview,490561.2828,5456747.1562
Break and Enter Commercial,2026,5,16,10,22,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Break and Enter Commercial,2026,5,30,23,30,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.8748
Break and Enter Commercial,2026,2,14,15,43,11XX W GEORGIA ST,Central Business District,490967.3192,5459309.7898
Break and Enter Commercial,2026,7,20,10,55,1XX CAMBIE ST,Central Business District,492100.0347,5459098.6472
Break and Enter Commercial,2026,1,1,8,30,1XX CARRALL ST,Central Business District,492413.6644,5458979.8195
Break and Enter Commercial,2026,4,4,5,10,1XX COMMERCIAL DR,Grandview-Woodland,494879.2731,5459004.7819
Break and Enter Commercial,2026,4,16,3,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Break and Enter Commercial,2026,2,17,11,35,1XX E 2ND AVE,Mount Pleasant,492638.3431,5457374.1172
Break and Enter Commercial,2026,7,27,6,30,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2026,2,14,1,4,1XX E 3RD AVE,Mount Pleasant,492646.9926,5457283.9766
Break and Enter Commercial,2026,2,1,1,50,1XX E 48TH AVE,Sunset,492589.9056,5452653.6531
Break and Enter Commercial,2026,7,2,23,45,1XX E 6TH AVE,Mount Pleasant,492552.2153,5456982.9554
Break and Enter Commercial,2026,6,5,17,50,1XX E 6TH AVE,Mount Pleasant,492641.961,5456971.2791
Break and Enter Commercial,2026,2,6,17,30,1XX E 8TH AVE,Mount Pleasant,492564.8245,5456773.3204
Break and Enter Commercial,2026,2,20,12,0,1XX E BROADWAY AVE,Mount Pleasant,492521.2571,5456698.3698
Break and Enter Commercial,2026,2,24,14,8,1XX E BROADWAY AVE,Mount Pleasant,492610.7541,5456694.6372
Break and Enter Commercial,2026,4,7,18,0,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Break and Enter Commercial,2026,1,10,2,28,1XX E CORDOVA ST,Central Business District,492623.4698,5458851.1899
Break and Enter Commercial,2026,5,9,16,19,1XX E CORDOVA ST,Central Business District,492640.7946,5458850.5849
Break and Enter Commercial,2026,4,20,10,37,1XX E CORDOVA ST,Central Business District,492649.3398,5458850.2861
Break and Enter Commercial,2026,2,18,16,53,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2026,4,4,23,47,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2026,3,26,23,0,1XX E PENDER ST,Central Business District,492598.8799,5458640.3449
Break and Enter Commercial,2026,2,8,9,8,1XX E PENDER ST,Central Business District,492708.3343,5458626.968
Break and Enter Commercial,2026,3,21,23,0,1XX KEEFER PL,Central Business District,492116.1663,5458564.2081
Break and Enter Commercial,2026,4,14,1,40,1XX KEEFER PL,Central Business District,492121.8011,5458572.3016
Break and Enter Commercial,2026,1,7,9,13,1XX KEEFER PL,Central Business District,492123.0015,5458572.0278
Break and Enter Commercial,2026,6,16,4,1,1XX KEEFER PL,Central Business District,492123.0015,5458572.0278
Break and Enter Commercial,2026,5,21,4,36,1XX KEEFER PL,Central Business District,492123.7934,5458571.8474
Break and Enter Commercial,2026,7,20,8,0,1XX KEEFER ST,Central Business District,492637.8517,5458533.7084
Break and Enter Commercial,2026,4,11,7,25,1XX KEEFER ST,Central Business District,492713.9917,5458535.6838
Break and Enter Commercial,2026,7,1,4,36,1XX KEEFER ST,Central Business District,492713.9917,5458535.6838
Break and Enter Commercial,2026,1,30,20,0,1XX KEEFER ST,Central Business District,492720.2742,5458526.3289
Break and Enter Commercial,2026,1,13,4,19,1XX MILROSS AVE,Central Business District,492707.3757,5458143.2828
Break and Enter Commercial,2026,6,21,3,30,1XX PRINCESS AVE,Strathcona,493350.4732,5459011.1812
Break and Enter Commercial,2026,2,11,4,12,1XX ROBSON ST,Central Business District,491671.5308,5458352.1176
Break and Enter Commercial,2026,6,9,4,36,1XX ROBSON ST,Central Business District,491671.5308,5458352.1176
Break and Enter Commercial,2026,1,14,5,0,2X W PENDER ST,Central Business District,492335.0932,5458658.2509
Break and Enter Commercial,2026,2,9,7,43,2XX ABBOTT ST,Central Business District,492254.3191,5458977.4064
Break and Enter Commercial,2026,6,21,8,0,2XX ALEXANDER ST,Strathcona,492881.0379,5459035.1516
Break and Enter Commercial,2026,7,17,3,16,2XX ALEXANDER ST,Strathcona,492881.0379,5459035.1516
Break and Enter Commercial,2026,7,17,10,20,2XX ALEXANDER ST,Strathcona,492881.0379,5459035.1516
Break and Enter Commercial,2026,2,5,9,10,2XX DAVIE ST,Central Business District,491127.0922,5457976.9653
Break and Enter Commercial,2026,5,6,22,22,2XX E 1ST AVE,Strathcona,492907.6319,5457308.4554
Break and Enter Commercial,2026,7,14,5,45,2XX E 6TH AVE,Mount Pleasant,492739.4629,5456969.2808
Break and Enter Commercial,2026,1,20,22,0,2XX E CORDOVA ST,Strathcona,492870.2222,5458834.1236
Break and Enter Commercial,2026,2,28,20,57,2XX E GEORGIA ST,Strathcona,492821.8402,5458431.3309
Break and Enter Commercial,2026,4,15,0,0,2XX E HASTINGS ST,Strathcona,492818.3221,5458740.2398
Break and Enter Commercial,2026,3,17,23,13,2XX E PENDER ST,Strathcona,492888.0981,5458640.7901
Break and Enter Commercial,2026,5,30,5,45,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Break and Enter Commercial,2026,4,7,22,43,2XX GRANVILLE ST,Central Business District,491834.3586,5459287.6725
Break and Enter Commercial,2026,1,8,12,0,2XX KEEFER ST,Strathcona,492816.7661,5458532.5521
